I,CO2EII,PUBLISHING,1,STATIONNAME,DUID,GENSETID,REGIONID,CO2E_EMISSIONS_FACTOR,CO2E_ENERGY_SOURCE,CO2E_DATA_SOURCE
D,CO2EII,PUBLISHING,1,Wallerawang Power Station,WW7,WW7,NSW1,1.045,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,Wallerawang Power Station,WW8,WW8,NSW1,1.045,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,Wallerawang Power Station,WWNL1,WWNL1,NSW1,1.045,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,Wallerawang Power Station,WWNL1,WWNL2,NSW1,1.045,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,ANGASTON POWER STATION,ANGAS1,ANGAS1,SA1,1.014,Diesel oil,NTNDP
D,CO2EII,PUBLISHING,1,ANGASTON POWER STATION,ANGAS2,ANGAS2,SA1,1.014,Diesel oil,NTNDP
D,CO2EII,PUBLISHING,1,Hunter Economic Zone Power Station,HEZ,HEZ,NSW1,1.014,Diesel oil,NTNDP
D,CO2EII,PUBLISHING,1,Lonsdale Power Station,LONSDALE,LONSDAL2,SA1,1.014,Diesel oil,NTNDP
D,CO2EII,PUBLISHING,1,Lonsdale Power Station,LONSDALE,LONSDALE,SA1,1.014,Diesel oil,NTNDP
D,CO2EII,PUBLISHING,1,Lucas Heights II Stage 2,LUCAS2S2,LUCAS2S2,NSW1,1.014,Landfill biogas methane,NTNDP
D,CO2EII,PUBLISHING,1,Port Lincoln Gas Turbine,POR01,POR01,SA1,1.014,Diesel oil,NTNDP
D,CO2EII,PUBLISHING,1,Port Lincoln Gas Turbine,POR03,POR03,SA1,1.014,Diesel oil,NTNDP
D,CO2EII,PUBLISHING,1,SNUGGERY POWER STATION,SNUG1,SNUG1,SA1,1.014,Diesel oil,NTNDP
D,CO2EII,PUBLISHING,1,SNUGGERY POWER STATION,SNUG1,SNUG2,SA1,1.014,Diesel oil,NTNDP
D,CO2EII,PUBLISHING,1,SNUGGERY POWER STATION,SNUG1,SNUG3,SA1,1.014,Diesel oil,NTNDP
D,CO2EII,PUBLISHING,1,SNUGGERY POWER STATION,SNUGNL1,SNUGNL1,SA1,1.014,Diesel oil,NTNDP
D,CO2EII,PUBLISHING,1,"Vales Point ""B"" Power Station",VP5,VP5,NSW1,1.002,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,"Vales Point ""B"" Power Station",VP6,VP6,NSW1,1.002,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,"Vales Point ""B"" Power Station",VPNL1,VPNL1,NSW1,1.002,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,ERARING POWER STATION,ER01,ER01,NSW1,0.999,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,ERARING POWER STATION,ER02,ER02,NSW1,0.999,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,ERARING POWER STATION,ER03,ER03,NSW1,0.999,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,ERARING POWER STATION,ER04,ER04,NSW1,0.999,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,ERARING POWER STATION,ERNL1,ERGT01,NSW1,0.999,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,Bayswater Power Station,BW01,BW01,NSW1,0.992,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,Bayswater Power Station,BW02,BW02,NSW1,0.992,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,Bayswater Power Station,BW03,BW03,NSW1,0.992,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,Bayswater Power Station,BW04,BW04,NSW1,0.992,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,Dry Creek Gas Turbine Station,DRYCGT1,DRYCGT1,SA1,0.968,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,Dry Creek Gas Turbine Station,DRYCGT2,DRYCGT2,SA1,0.968,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,Dry Creek Gas Turbine Station,DRYCGT3,DRYCGT3,SA1,0.968,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,Dry Creek Gas Turbine Station,DRYCNL,DRYCNL1,SA1,0.968,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,Dry Creek Gas Turbine Station,DRYCNL,DRYCNL2,SA1,0.968,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,Callide Power Station,CALL_A_4,CALL_A_4,QLD1,0.967,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,Callide Power Station,CALL_B_1,CALL_B_1,QLD1,0.967,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,Callide Power Station,CALL_B_2,CALL_B_2,QLD1,0.967,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,Callide Power Station,CALLNL1,CALLNL1,QLD1,0.967,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,Callide Power Station,CALLNL4,CALLNL4,QLD1,0.967,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,Hunter Valley Gas Turbine,HVGTS,GH02,NSW1,0.964,Kerosene - non aviation,NTNDP
D,CO2EII,PUBLISHING,1,Hunter Valley Gas Turbine,HVGTS,HVGTS,NSW1,0.964,Kerosene - non aviation,NTNDP
D,CO2EII,PUBLISHING,1,MACKAY GAS TURBINE,MACKAYGT,MACKAYGT,QLD1,0.964,Diesel oil,NTNDP
D,CO2EII,PUBLISHING,1,GLADSTONE POWER STATION,GLADNL1,GLADNL1,QLD1,0.962,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,GLADSTONE POWER STATION,GSTONE1,GSTONE1,QLD1,0.962,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,GLADSTONE POWER STATION,GSTONE2,GSTONE2,QLD1,0.962,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,GLADSTONE POWER STATION,GSTONE3,GSTONE3,QLD1,0.962,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,GLADSTONE POWER STATION,GSTONE4,GSTONE4,QLD1,0.962,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,GLADSTONE POWER STATION,GSTONE5,GSTONE5,QLD1,0.962,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,GLADSTONE POWER STATION,GSTONE6,GSTONE6,QLD1,0.962,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,NORTHERN POWER STATION,NPS1,NPS1,SA1,0.948,Brown coal,NTNDP
D,CO2EII,PUBLISHING,1,NORTHERN POWER STATION,NPS2,NPS2,SA1,0.948,Brown coal,NTNDP
D,CO2EII,PUBLISHING,1,NORTHERN POWER STATION,NPSNL1,NPSNL1,SA1,0.948,Brown coal,NTNDP
D,CO2EII,PUBLISHING,1,NORTHERN POWER STATION,NPSNL2,NPSNL2,SA1,0.948,Brown coal,NTNDP
D,CO2EII,PUBLISHING,1,Blue Lake Milling Power Plant,BLULAKE1,BLULAKE1,SA1,0.946,Diesel oil,Estimated
D,CO2EII,PUBLISHING,1,TARONG POWER STATION,TARNL1,TARNL1,QLD1,0.936,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,TARONG POWER STATION,TARONG#1,TARONG#1,QLD1,0.936,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,TARONG POWER STATION,TARONG#2,TARONG#2,QLD1,0.936,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,TARONG POWER STATION,TARONG#3,TARONG#3,QLD1,0.936,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,TARONG POWER STATION,TARONG#4,TARONG#4,QLD1,0.936,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,MT PIPER POWER STATION,MP1,MP1,NSW1,0.935,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,MT PIPER POWER STATION,MP2,MP2,NSW1,0.935,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,MT PIPER POWER STATION,MPNL1,MPNL1,NSW1,0.935,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,Bankstown Sports Club Plant Units,BANKSPT1,BANKSPT1,NSW1,0.934,Diesel oil,Estimated
D,CO2EII,PUBLISHING,1,Bankstown Sports Club Plant Units,BANKSPT1,BANKSPT2,NSW1,0.934,Diesel oil,Estimated
D,CO2EII,PUBLISHING,1,Nine Network Willoughby Plant,NINEWIL1,NINEWIL1,NSW1,0.934,Diesel oil,Estimated
D,CO2EII,PUBLISHING,1,Pt Stanvac Power Station,STANV1,STANV1,SA1,0.934,Diesel oil,Estimated
D,CO2EII,PUBLISHING,1,Pt Stanvac Power Station,STANV2,STANV2,SA1,0.934,Diesel oil,Estimated
D,CO2EII,PUBLISHING,1,St George Leagues Plant,STGEORG1,STGEORG1,NSW1,0.934,Diesel oil,Estimated
D,CO2EII,PUBLISHING,1,Tataria Bordertown Plant,TATIARA1,TATIARA1,SA1,0.934,Diesel oil,Estimated
D,CO2EII,PUBLISHING,1,West Illawarra Leagues Club Plant,WESTILL1,WESTILL1,NSW1,0.934,Diesel oil,Estimated
D,CO2EII,PUBLISHING,1,West Illawarra Leagues Club Plant,WESTILL1,WESTILL2,NSW1,0.934,Diesel oil,Estimated
D,CO2EII,PUBLISHING,1,Western Suburbs League Club (Campbelltown) Plant,WESTCBT1,WESTCBT1,NSW1,0.934,Diesel oil,Estimated
D,CO2EII,PUBLISHING,1,Kogan Creek Power Station,KPP_1,KPP_1,QLD1,0.922,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,CALLIDE C NETT OFF,CPP_3,CPP_3,QLD1,0.919,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,CALLIDE C NETT OFF,CPP_4,CPP_4,QLD1,0.919,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,STANWELL POWER STATION,STAN-1,STAN-1,QLD1,0.914,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,STANWELL POWER STATION,STAN-2,STAN-2,QLD1,0.914,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,STANWELL POWER STATION,STAN-3,STAN-3,QLD1,0.914,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,STANWELL POWER STATION,STAN-4,STAN-4,QLD1,0.914,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,STANWELL POWER STATION,STANNL1,STANNL1,QLD1,0.914,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,TORRENS ISLAND POWER STATION,TORNL1,TORNL1,SA1,0.912,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,TORRENS ISLAND POWER STATION,TORRA1,TORRA1,SA1,0.912,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,TORRENS ISLAND POWER STATION,TORRA2,TORRA2,SA1,0.912,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,TORRENS ISLAND POWER STATION,TORRA3,TORRA3,SA1,0.912,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,TORRENS ISLAND POWER STATION,TORRA4,TORRA4,SA1,0.912,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,Amcor Glass Gawler Plant,AMCORGR,AMCORGR1,SA1,0.909,Diesel oil,NTNDP
D,CO2EII,PUBLISHING,1,Amcor Glass Gawler Plant,AMCORGR,AMCORGR2,SA1,0.909,Diesel oil,NTNDP
