I,CO2EII,PUBLISHING,1,STATIONNAME,DUID,GENSETID,REGIONID,CO2E_EMISSIONS_FACTOR,CO2E_ENERGY_SOURCE,CO2E_DATA_SOURCE
D,CO2EII,PUBLISHING,1,Yarwun Power Station,YARWUN_1,YARWUN_1,QLD1,0.6,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,OSBORNE POWER STATION,OSB-AG,OSB-AG,SA1,0.599,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,OSBORNE POWER STATION,OSB-AG,OSB02,SA1,0.599,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,SMITHFIELD ENERGY FACILITY,SITHE01,SITHE01,NSW1,0.575,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,SMITHFIELD ENERGY FACILITY,SITHE01,SITHE02,NSW1,0.575,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,SMITHFIELD ENERGY FACILITY,SITHE01,SITHE03,NSW1,0.575,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,SMITHFIELD ENERGY FACILITY,SITHE01,SITHE04,NSW1,0.575,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,Symex Power Plant,SYMEX1,SYMEX1_1,VIC1,0.546,Natural Gas (Pipeline),Estimated
D,CO2EII,PUBLISHING,1,Pelican Point Power Station,PPCCGT,PPCCGT,SA1,0.524,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,Pelican Point Power Station,PPCCGT,PPGT12,SA1,0.524,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,Pelican Point Power Station,PPCCGT,PPST18,SA1,0.524,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,Barcaldine Power Station,BARCALDN,BARCALDN,QLD1,0.51,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,Tallawarra Power Station,TALWA1,TALWA1,NSW1,0.472,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,Townsville Gas Turbine,YABULU,YABULU,QLD1,0.444,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,Townsville Gas Turbine,YABULU2,YABULU2,QLD1,0.444,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,Swanbank B Power Station & Swanbank E Gas Turbine,SWAN_E,SWAN_E,QLD1,0.434,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,Tamar Valley Combined Cycle Power Station,TVCC201,TVCC201,TAS1,0.428,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,Darling Downs Power Station,DDPS1,DDPS0,QLD1,0.417,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,Darling Downs Power Station,DDPS1,DDPS1,QLD1,0.417,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,Darling Downs Power Station,DDPS1,DDPS2,QLD1,0.417,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,Darling Downs Power Station,DDPS1,DDPS3,QLD1,0.417,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,Condamine Power Station A,CPSA,CPSA,QLD1,0.4,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,Condamine Power Station A,CPSA,CPSA2,QLD1,0.4,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,Condamine Power Station A,CPSA,CPSA3,QLD1,0.4,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,German Creek Power Station,GERMCRK,GERMCRK,QLD1,0.066,Landfill biogas methane,NTNDP
D,CO2EII,PUBLISHING,1,Browns Plains Landfill Gas PS,BPLANDF1,BPLANDF1,QLD1,0.061,Landfill biogas methane,Estimated
D,CO2EII,PUBLISHING,1,Brooklyn Landfill And Waste Recycling Facility,BROOKLYN,BROOKLYN,VIC1,0.06,Landfill biogas methane,NTNDP
D,CO2EII,PUBLISHING,1,Eastern Creek Power Station,EASTCRK,EASTCRK,NSW1,0.06,Landfill biogas methane,NTNDP
D,CO2EII,PUBLISHING,1,Grange Avenue Power Station,GRANGEAV,GRANGEAV,NSW1,0.06,Landfill biogas methane,NTNDP
D,CO2EII,PUBLISHING,1,Jacks Gully Power Station,JACKSGUL,JACKSGUL,NSW1,0.06,Landfill biogas methane,NTNDP
D,CO2EII,PUBLISHING,1,Moranbah North Power Station,MBAHNTH,MBAHNTH,QLD1,0.06,Landfill biogas methane,NTNDP
D,CO2EII,PUBLISHING,1,Mornington Waste Disposal Facility,MORNW,MORNW,VIC1,0.06,Landfill biogas methane,NTNDP
D,CO2EII,PUBLISHING,1,Remount Power Station,REMOUNT,REMOUNT,TAS1,0.06,Landfill biogas methane,NTNDP
D,CO2EII,PUBLISHING,1,Roghan Road LFG Power Plant,EDLRGNRD,EDLRGNRD,QLD1,0.06,Landfill biogas methane,NTNDP
D,CO2EII,PUBLISHING,1,Shepparton Wastewater Treatment Facility,SHEP1,SHEP1,VIC1,0.06,Other Biofuels,NTNDP
D,CO2EII,PUBLISHING,1,TERALBA POWER STATION,TERALBA,TERALBA,NSW1,0.06,Landfill biogas methane,NTNDP
D,CO2EII,PUBLISHING,1,Veolia Ti Tree Bio Reactor,TITREE,TITREE,QLD1,0.06,Landfill biogas methane,NTNDP
D,CO2EII,PUBLISHING,1,West Nowra Landfill Gas Power Generation Facility,AGLNOW1,AGLNOW1,NSW1,0.06,Landfill biogas methane,NTNDP
D,CO2EII,PUBLISHING,1,Whitwood Road Renewable Energy Facility,WHIT1,WHIT1,QLD1,0.06,Landfill biogas methane,NTNDP
D,CO2EII,PUBLISHING,1,Woodlawn Bioreactor Energy Generation Station,WDLNGN01,WDLNGN01,NSW1,0.06,Landfill biogas methane,NTNDP
D,CO2EII,PUBLISHING,1,Wyndham Waste Disposal Facility,WYNDW,WYNDW,VIC1,0.06,Landfill biogas methane,NTNDP
D,CO2EII,PUBLISHING,1,Awaba Power Station,AWABAREF,AWABAREF,NSW1,0.022,Landfill biogas methane,NTNDP
D,CO2EII,PUBLISHING,1,EarthPower Biomass Plant,PMATTAEP,PMATTAEP,NSW1,0.022,Landfill biogas methane,NTNDP
D,CO2EII,PUBLISHING,1,Rocky Point Cogeneration Plant,RPCG,RPCG,QLD1,0.022,Biomass and industrial materials,NTNDP
D,CO2EII,PUBLISHING,1,Suncoast Gold Macadamias,SUNCOAST,SUNCOAST,QLD1,0.022,Primary solid biomass fuels,NTNDP
D,CO2EII,PUBLISHING,1,Tatura Biomass Generator,TATURA01,TATURA01,VIC1,0.022,Other Biofuels,NTNDP
D,CO2EII,PUBLISHING,1,Broadwater Power Station,BWTR1,BWTR1,NSW1,0.018,Bagasse,NTNDP
D,CO2EII,PUBLISHING,1,Condong Power Station,CONDONG1,CONDONG1,NSW1,0.018,Bagasse,NTNDP
D,CO2EII,PUBLISHING,1,ISIS Central Sugar Mill Co-generation Plant,ICSM,ICSM,QLD1,0.018,Bagasse,NTNDP
D,CO2EII,PUBLISHING,1,Banimboola Power Station,BAPS,BAPS,VIC1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,Barron Gorge Power Station,BARRON-1,BARRON-1,QLD1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,Barron Gorge Power Station,BARRON-2,BARRON-2,QLD1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,Bastyan Power Station,BASTYAN,BASTYAN,TAS1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,Blowering Power Station,BLOWERNG,BLOWERNG,NSW1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,Bogong / Mackay Power Station,MCKAY1,BOGONG1,VIC1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,Bogong / Mackay Power Station,MCKAY1,BOGONG2,VIC1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,Bogong / Mackay Power Station,MCKAY1,MCKAY1,VIC1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,Bogong / Mackay Power Station,MCKAY1,MCKAY2,VIC1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,Bogong / Mackay Power Station,MCKAY1,MCKAY3,VIC1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,BROWN MT POWER STATION,BROWNMT,BROWNMT,NSW1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,BURRINJUCK POWER STATION,BURRIN,BURRIN,NSW1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,Butlers Gorge Power Station,BUTLERSG,BUTLERSG,TAS1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,Capital Wind Farm,CAPTL_WF,CAPTL_WF,NSW1,0,Wind,NTNDP
D,CO2EII,PUBLISHING,1,Catagunya / Liapootah / Wayatinah Power Station,L_W_CNL1,L_W_CNL1,TAS1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,Catagunya / Liapootah / Wayatinah Power Station,LI_WY_CA,LI_WY_CA,TAS1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,Catagunya / Liapootah / Wayatinah Power Station,WYA252B1,WYA252B1,TAS1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,Catagunya / Liapootah / Wayatinah Power Station,WYB252B1,WYB252B1,TAS1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,CATHEDRAL ROCKS,CATHROCK,CATHROCK,SA1,0,Wind,NTNDP
D,CO2EII,PUBLISHING,1,Cethana Power Station,CETHANA,CETHANA,TAS1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,Clements Gap Wind Farm,CLEMGPWF,CLEMGPWF,SA1,0,Wind,NTNDP
D,CO2EII,PUBLISHING,1,Cluny Power Station,CLUNY,CLUNY,TAS1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,Codrington Wind Farm,CODRNGTON,CODRNGTON,VIC1,0,Wind,NTNDP
D,CO2EII,PUBLISHING,1,Cullerin Range Wind Farm,CULLRGWF,CULLRGWF,NSW1,0,Wind,NTNDP
D,CO2EII,PUBLISHING,1,DARTMOUTH POWER STATION,DARTM1,DARTM1,VIC1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,Devils Gate Power Station,DEVILS_G,DEVILS_G,TAS1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,EILDON POWER STATION,EILDON1,EILDON1,VIC1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,EILDON POWER STATION,EILDON2,EILDON2,VIC1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,Fisher Power Station,FISHER,FISHER,TAS1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,Gordon Power Station,GORDON,GORDON,TAS1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,Gordon Power Station,GOVILLB1,GOVILLB1,TAS1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,Gunning Wind Farm,GUNNING1,GUNNING1,NSW1,0,Wind,Estimated
D,CO2EII,PUBLISHING,1,Hallett 1 Wind Farm,HALLWF1,HALLWF1,SA1,0,Wind,NTNDP
D,CO2EII,PUBLISHING,1,Hallett 2 Wind Farm,HALLWF2,HALLWF2,SA1,0,Wind,NTNDP
D,CO2EII,PUBLISHING,1,Hepburn Community Wind Farm,HEPWIND1,HEPWIND1,VIC1,0,Wind,Estimated
D,CO2EII,PUBLISHING,1,HUME HYDRO PS 132KV,HUMENSW,HUMENSW,NSW1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,HUME POWER STATION,HUMEV,HUMEV,VIC1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,Jindabyne Small Hydro Power Station,JNDABNE1,JNDABNE1,NSW1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,John Butters Power Station,JBUTTERS,JBUTTERS,TAS1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,Jounama Small Hydro Power Station,JOUNAMA1,JOUNAMA1,NSW1,0,Hydro,Estimated
D,CO2EII,PUBLISHING,1,KAREEYA POWER STATION,KAREEYA1,KAREEYA1,QLD1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,KAREEYA POWER STATION,KAREEYA2,KAREEYA2,QLD1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,KAREEYA POWER STATION,KAREEYA3,KAREEYA3,QLD1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,KAREEYA POWER STATION,KAREEYA4,KAREEYA4,QLD1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,KAREEYA POWER STATION,KAREEYA5,KAREEYA5,QLD1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,KEEPIT POWER STATION,KEEPIT,KEEPIT,NSW1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,Lake Bonney Stage 2 Windfarm,LKBONNY2,LKBONNY2,SA1,0,Wind,NTNDP
D,CO2EII,PUBLISHING,1,Lake Bonney Stage 3 Wind Farm,LKBONNY3,LKBONNY3,SA1,0,Wind,NTNDP
D,CO2EII,PUBLISHING,1,Lake Bonney Wind Farm Stage 1,LKBONNY1,LKBONNY1,SA1,0,Wind,NTNDP
D,CO2EII,PUBLISHING,1,Lake Echo Power Station,LK_ECHO,LK_ECHO,TAS1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,Lemonthyme / Wilmot Power Station,LEM_WIL,LEM_WIL,TAS1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,Mackintosh Power Station,MACKNTSH,MACKNTSH,TAS1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,Meadowbank Power Station,MEADOWBK,MEADOWBK,TAS1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,Mt Millar Wind Farm,MTMILLAR,MTMILLAR,SA1,0,Wind,NTNDP
D,CO2EII,PUBLISHING,1,Murray Power Station,MURAYNL1,MURAYNL1,VIC1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,Murray Power Station,MURAYNL2,MURAYNL2,VIC1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,Murray Power Station,MURAYNL3,MURAYNL3,VIC1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,Murray Power Station,MURRAY,MURRAY,VIC1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,North Brown Hill Wind Farm,NBHWF1,NBHWF1,SA1,0,Wind,Estimated
D,CO2EII,PUBLISHING,1,Oaklands Hill Wind Farm,OAKLAND1,OAKLAND1,VIC1,0,Wind,NTNDP
D,CO2EII,PUBLISHING,1,Paloona Power Station,PALOONA,PALOONA,TAS1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,Pindari Hydro Power Station,PINDARI,PINDARI,NSW1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,Poatina Power Station,PO110NL1,PO110NL1,TAS1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,Poatina Power Station,POAT110,POAT110,TAS1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,Poatina Power Station,POAT220,POAT220,TAS1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,Reece Power Station,REECE1,REECE1,TAS1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,Reece Power Station,REECE2,REECE2,TAS1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,Shoalhaven Power Station (Bendeela And Kangaroo Valley Power Station And Pumps),SHGEN,SHGEN,NSW1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,Shoalhaven Power Station (Bendeela And Kangaroo Valley Power Station And Pumps),SHGEN,SH02,NSW1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,Shoalhaven Power Station (Bendeela And Kangaroo Valley Power Station And Pumps),SHGEN,SH03,NSW1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,Snowtown Wind Farm Units 1 And 47,SNOWTWN1,SNOWTWN1,SA1,0,Wind,NTNDP
D,CO2EII,PUBLISHING,1,SNOWY,GUTHEGA,GUTHEGA,NSW1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,SNOWY,GUTHNL1,GUTHNL1,NSW1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,South East Water - Halllam Hydro Plant,HLMSEW01,HLMSEW01,VIC1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,Starfish Hill Wind Farm,STARHLWF,STARHLWF,SA1,0,Wind,NTNDP
D,CO2EII,PUBLISHING,1,Tarraleah Power Station,TARRALEA,TARRALEA,TAS1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,Terminal Storage Mini Hydro Power Station,TERMSTOR,TERMSTOR,SA1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,The Bluff Wind Farm,BLUFF1,BLUFF1,SA1,0,Wind,Estimated
D,CO2EII,PUBLISHING,1,TOORA WIND FARM,TOORAWF,TOORAWF,VIC1,0,Wind,NTNDP
D,CO2EII,PUBLISHING,1,Trevallyn Power Station,TREVALLN,TREVALLN,TAS1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,Tribute Power Station,TRIBNL1,TRIBNL1,TAS1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,Tribute Power Station,TRIBUTE,TRIBUTE,TAS1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,Tumut 3 Power Station,TUMT3NL1,TUMT3NL1,NSW1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,Tumut 3 Power Station,TUMT3NL2,TUMT3NL2,NSW1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,Tumut 3 Power Station,TUMT3NL3,TUMT3NL3,NSW1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,Tumut 3 Power Station,TUMUT3,TUMUT3,NSW1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,Tumut Power Station,UPPTUMUT,UPPTUMUT,NSW1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,Tungatinah Power Station,TUNGATIN,TUNGATIN,TAS1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,WARRAGAMBA POWER STATION,WG01,WG01,NSW1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,Waterloo Wind Farm,WATERLWF,WATERLWF,SA1,0,Wind,NTNDP
D,CO2EII,PUBLISHING,1,Wattle Point Wind Farm,WPWF,WPWF,SA1,0,Wind,NTNDP
D,CO2EII,PUBLISHING,1,WAUBRA WIND FARM,WAUBRAWF,WAUBRAWF,VIC1,0,Wind,NTNDP
D,CO2EII,PUBLISHING,1,WAUBRA WIND FARM,WAUBRAWF,WAUBWF02,VIC1,0,Wind,NTNDP
D,CO2EII,PUBLISHING,1,WEST KIEWA POWER STATION,WKIEWA1,WKIEWA1,VIC1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,WEST KIEWA POWER STATION,WKIEWA2,WKIEWA2,VIC1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,Windy Hill Wind Farm,WHILL1,WHILL1,QLD1,0,Wind,NTNDP
D,CO2EII,PUBLISHING,1,WIVENHOE POWER STATION,W/HOE#1,W/HOE#1,QLD1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,WIVENHOE POWER STATION,W/HOE#2,W/HOE#2,QLD1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,WIVENHOE POWER STATION,W/HOE#1,PUMP1,QLD1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,WIVENHOE POWER STATION,W/HOE#2,PUMP2,QLD1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,WIVENHOE SMALL HYDRO,WIVENSH,WIVENSH,QLD1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,Wonthaggi Wind Farm,WONWP,WONWP,VIC1,0,Wind,NTNDP
D,CO2EII,PUBLISHING,1,Woodlawn Wind Farm,WOODLWN1,WOODLWN1,NSW1,0,Wind,Estimated
D,CO2EII,PUBLISHING,1,WOOLNORTH WIND LOT 1,WOOLNTH1,WOOLNTH1,TAS1,0,Wind,NTNDP
D,CO2EII,PUBLISHING,1,Wyangala A Power Station,WYANGALA,WYANGALA,NSW1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,Wyangala B Power Station,WYANGALB,WYANGALB,NSW1,0,Hydro,NTNDP
D,CO2EII,PUBLISHING,1,YAMBUK WIND FARM,YAMBUKWF,YAMBUKWF,VIC1,0,Wind,NTNDP
C,END OF REPORT,350,,,,,,,,
