plant_id,company_id,TYPE,CAPACITY,name,carbon_2000,carbon_2007,carbon_nextdecade,energy_2000,energy_2007,energy_nextdecade,intensity_2000,intensity_2007,intensity_nextdecade,perc_cap,country,iso3,state,city_name,latitude,longitude
48689,ALINTA ENERGY,Gas thermal,98,WAGERUP ALINTA,0,543758,611186,0,1015644,1152141,0,1071,1061,90.78613714,Australia,AUS,Western Australia,Wagerup,-32.91667,115.8833
49940,TARONG ENERGY CORP LTD,Hydro,500,WIVENHOE,0,0,603438,1052437,973419,2109812,0,0,572,17.05429541,Australia,AUS,Queensland,Fernvale,-27.45,152.65
9067,TRANSFIELD SERVICES PTY LTD,Black Coal,190,COLLINSVILLE,1256971,1343271,1354978,897321,964912,974113,2802,2784,2782,44.48752745,Australia,AUS,Queensland,Collinsville,-20.55,147.85
29437,ENERGY BRIX AUSTRALIA LTD,Brown Coal,165,MORWELL,1227333,1309445,1314988,874209,938369,942715,2808,2791,2790,49.81886327,Australia,AUS,Victoria,Morwell,-38.23,146.4
31065,ECOGEN ENERGY,Gas thermal,500,NEWPORT D,451113,487233,503937,830305,902239,935649,1087,1080,1077,15.80722509,Australia,AUS,Victoria,Newport,-37.85,144.8833
50406,TRANSFIELD SERVICES PTY LTD,Gas Turbine,230,YABULU,269566,294619,304322,726155,900263,925750,742,655,657,34.28827298,Australia,AUS,Queensland,Townsville,-19.25,146.8
1560,ALCOA OF AUSTRALIA,Brown Coal,150,ANGLESEA,1128194,1205473,1215543,797279,857194,865028,2830,2813,2810,50.0601004,Australia,AUS,Victoria,Anglesea,-38.41667,144.1667
50126,WORSLEY ALUMINA PTY LTD,Black Coal,107,WORSLEY REFINERY,1126233,1203301,1212456,795763,855505,862626,2831,2813,2811,70.03946453,Australia,AUS,Western Australia,Worsley,-33.3,116
15500,HYDRO TASMANIA,Hydro,432,GORDON TASMANIA,0,0,0,910695,842319,842319,0,0,0,17.08035116,Australia,AUS,Tasmania,Strathgordon,0,0
34703,VERVE ENERGY,Gas turbine,576,PINJAR,414655,455623,486766,758155,839263,901305,1094,1086,1080,12.76378671,Australia,AUS,Western Australia,Kentdale,-34.9,117.05
36909,REDBANK PROJECT PTY LTD,Black Coal,150,REDBANK,0,1063398,1100485,0,747336,775888,0,2846,2837,43.64444065,Australia,AUS,New South Wales,Warkworth,-32.58333,151.0333
28283,CS ENERGY CORP LTD,Gas Turbine,318,MICA CREEK,323567,349005,359133,664477,715794,735692,974,975,976,19.71810231,Australia,AUS,Queensland,Mount Isa,-20.73,139.5
8958,VERVE ENERGY,Gas turbine,240,COCKBURN-1,0,312810,335732,0,675333,719676,0,926,933,24.64966591,Australia,AUS,Western Australia,Kwinana,-32.25,115.77
20192,ECOGEN ENERGY,Gas Turbine,432,JEERALANG,339297,367096,381491,610655,664793,692957,1111,1104,1101,13.48052092,Australia,AUS,Victoria,Morwell,-38.23,146.4
46581,SNOWY HYDRO LTD,Hydro,330,TUMUT-1,0,0,0,694608,642456,642456,0,0,0,17.0542965,Australia,AUS,New South Wales,Tumut,-35.31,148.22
35011,HYDRO TASMANIA,Hydro,300,POATINA,0,0,0,657773,608387,608387,0,0,0,17.76489128,Australia,AUS,Tasmania,0,0,0
49615,ONESTEEL LTD,0,0,WHYALLA WORKS,735652,785076,788782,523480,562249,565638,2811,2793,2789,0,Australia,AUS,South Australia,Whyalla,-33.03,137.57
46582,SNOWY HYDRO LTD,Hydro,287,TUMUT-2,0,0,0,602836,557574,557574,0,0,0,17.01864452,Australia,AUS,New South Wales,Camurra,-29.4,149.9167
3917,HYDRO TASMANIA,Gas Turbine,105,BELL BAY,209252,303618,386228,362547,541683,702243,1154,1121,1100,45.19186493,Australia,AUS,Tasmania,Bell Bay,-41.12,146.87
44916,NEWCREST MINING,Gas thermal,135,TELFER MINE,0,303807,325551,0,540821,582148,0,1124,1118,35.09324944,Australia,AUS,Western Australia,Telfer,0,0
29584,ORIGIN ENERGY LTD,Gas Turbine,288,MOUNT STUART,304953,339604,521921,470810,529619,847374,1295,1282,1232,16.10924458,Australia,AUS,Queensland,Stuart,-23.7,133.8833
