Time,NQ,CQ,SWQ,SEQ,NNSW,Hunter,Central,SYD,STHRN,CAN,SWNSW,NVIC,CVIC,LV,MEL,WVIC,SESA,ADE,NSA,FNSA,TAS
01/01/2013 00:00,1023.6,1831.7, 377.1,2154.9, 294.4,2281.3, 515.1,2870.1, 515.1, 368.0, 515.1, 298.1, 347.8, 298.1,3074.4, 949.7, 147.0, 963.9, 196.0, 326.7, 844.5
01/01/2013 01:00, 979.4,1752.6, 360.8,2061.8, 277.1,2147.7, 485.0,2702.0, 485.0, 346.4, 485.0, 266.9, 311.3, 266.9,2658.2, 944.5, 130.2, 853.7, 173.6, 289.4, 856.8
01/01/2013 02:00, 927.6,1659.8, 341.7,1952.8, 250.1,1938.6, 437.8,2438.9, 437.8, 312.7, 437.8, 259.8, 303.1, 259.8,2563.9, 943.3, 113.2, 742.3, 151.0, 251.6, 841.2
01/01/2013 03:00, 894.9,1601.4, 329.7,1884.0, 233.6,1810.1, 408.7,2277.2, 408.7, 291.9, 408.7, 241.4, 281.6, 241.4,2318.3, 940.2, 108.7, 712.3, 144.9, 241.5, 845.5
