Time,NQ,CQ,SWQ,SEQ,NNSW,Hunter,Central,SYD,STHRN,CAN,SWNSW,NVIC,CVIC,LV,MEL,WVIC,SESA,ADE,NSA,FNSA,TAS
1/01/2013 0:00,1023.6,1831.7,377.1,2154.9,294.4,2281.3,515.1,2870.1,515.1,368,515.1,298.1,347.8,298.1,3074.4,949.7,147,963.9,196,326.7,844.5
1/01/2013 1:00,979.4,1752.6,360.8,2061.8,277.1,2147.7,485,2702,485,346.4,485,266.9,311.3,266.9,2658.2,944.5,130.2,853.7,173.6,289.4,856.8
1/01/2013 2:00,927.6,1659.8,341.7,1952.8,250.1,1938.6,437.8,2438.9,437.8,312.7,437.8,259.8,303.1,259.8,2563.9,943.3,113.2,742.3,151,251.6,841.2
1/01/2013 3:00,894.9,1601.4,329.7,1884,233.6,1810.1,408.7,2277.2,408.7,291.9,408.7,241.4,281.6,241.4,2318.3,940.2,108.7,712.3,144.9,241.5,845.5
1/01/2013 4:00,875.1,1565.9,322.4,1842.2,226.8,1757.6,396.9,2211.1,396.9,283.5,396.9,233.6,272.5,233.6,2214,938.9,105.8,693.4,141,235.1,839.1
1/01/2013 5:00,875.6,1566.9,322.6,1843.4,224.9,1742.8,393.5,2192.6,393.5,281.1,393.5,233.1,271.9,233.1,2207.6,938.8,103.8,680.6,138.4,230.7,837.8
1/01/2013 6:00,863.2,1544.6,318,1817.2,227.9,1766.3,398.8,2222.1,398.8,284.9,398.8,232.6,271.3,232.6,2201.1,938.8,102.3,670.9,136.5,227.4,849.4
1/01/2013 7:00,905.6,1620.6,333.7,1906.6,238.8,1850.9,417.9,2328.5,417.9,298.5,417.9,240.6,280.7,240.6,2308.3,940.1,103,675.3,137.3,228.9,892.2
1/01/2013 8:00,958.7,1715.7,353.2,2018.4,257.9,1998.4,451.3,2514.1,451.3,322.3,451.3,246.2,287.2,246.2,2382.6,941,103,675.3,137.4,228.9,933.3
1/01/2013 9:00,1010.5,1808.2,372.3,2127.3,277.4,2150,485.5,2704.9,485.5,346.8,485.5,254.7,297.1,254.7,2495.9,942.4,104.1,682.4,138.8,231.3,933.7
